/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         37220892 function calls (37138684 primitive calls) in 678.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3910116  103.267    0.000  104.700    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:177(__getattr__)
        1   79.800   79.800  450.751  450.751 /home/jessica/GitHub/Profiles/profiles/mavlogdump_Profiles.py:92(process)
   329910   76.057    0.000  128.875    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:857(_parse_next)
   328693   53.457    0.000  149.630    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:169(to_dict)
        1   31.268   31.268   58.807   58.807 /home/jessica/GitHub/Profiles/profiles/Raw_Profile.py:236(_read_JSON)
   328692   20.464    0.000   20.464    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/encoder.py:204(iterencode)
   329909   18.701    0.000   45.403    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:581(_add_msg)
        1   17.314   17.314   19.081   19.081 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:724(init_arrays)
   121775   14.417    0.000   56.079    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:831(_mul_div)
   328694   13.432    0.000  152.263    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:620(recv_match)
    89943   11.694    0.000   41.673    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:640(_add_sub)
   287736    9.962    0.000   17.009    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:98(__new__)
   328692    9.548    0.000   26.883    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/__init__.py:299(loads)
