/home/jessica/miniconda3/envs/Profiles/bin/python3.7 /home/jessica/GitHub/Profiles/development/time.py
/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         168064882 function calls (167970669 primitive calls) in 1995.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  7976576  256.981    0.000  378.094    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:98(__new__)
7905023/7905021  204.129    0.000  531.983    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:67(wrapped)
     5280  182.748    0.035 1240.674    0.235 /home/jessica/GitHub/Profiles/profiles/utils.py:82(<genexpr>)
  7711840  164.283    0.000  525.231    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1398(__getitem__)
  7693301  141.927    0.000  218.568    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1171(compare)
  7693301  117.579    0.000  536.542    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1203(<lambda>)
  3910116  117.048    0.000  118.659    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:177(__getattr__)
  8074532  104.006    0.000  112.993    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/compat/__init__.py:77(_to_magnitude)
        1   90.389   90.389  511.398  511.398 /home/jessica/GitHub/Profiles/profiles/mavlogdump_Profiles.py:92(process)
   329910   86.540    0.000  146.493    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:857(_parse_next)
  7987063   74.471    0.000   76.305    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:319(__eq__)
   328693   60.077    0.000  169.117    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:169(to_dict)
        1   31.581   31.581   58.900   58.900 /home/jessica/GitHub/Profiles/profiles/Raw_Profile.py:236(_read_JSON)
   328692   23.484    0.000   23.484    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/encoder.py:204(iterencode)
   329909   20.980    0.000   51.110    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:581(_add_msg)
 61578174   20.779    0.000   22.150    0.000 {built-in method builtins.isinstance}
        1   20.314   20.314   22.352   22.352 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:724(init_arrays)
   121775   15.100    0.000   58.983    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:831(_mul_div)
   328694   14.948    0.000  172.707    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:620(recv_match)
    89943   12.460    0.000   44.235    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:640(_add_sub)
   328692   10.187    0.000   43.844    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/__init__.py:183(dumps)
   328692    9.819    0.000   33.657    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/encoder.py:182(encode)
   329848    9.507    0.000  155.976    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:578(recv_msg)
   328692    9.386    0.000   26.686    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/__init__.py:299(loads)
  1681545    8.801    0.000    8.801    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:197(get_type)
   328692    8.429    0.000    8.429    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/decoder.py:343(raw_decode)
   121764    8.369    0.000   16.163    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:345(__mul__)
   312256    8.304    0.000   25.632    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1624(_get_non_multiplicative_units)
   328755    8.228    0.000   19.061    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:312(set_message_timestamp)
   431417    8.033    0.000    8.744    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:257(__init__)
   328692    7.839    0.000   17.081    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/json/decoder.py:332(decode)
   329909    7.119    0.000   26.274    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:571(_set_time)
   329909    5.572    0.000    5.572    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:162(__init__)
   657386    5.458    0.000    5.458    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/mavutil.py:57(evaluate_condition)
   174631    5.350    0.000   10.875    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:525(_get_dimensionality)
   312256    5.283    0.000   11.347    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1627(<listcomp>)
   312265    4.357    0.000    5.981    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:672(keys)
   312409    4.280    0.000    6.064    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:719(__iter__)
   662351    3.964    0.000    3.964    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:53(u_ord)
79552/23904    3.489    0.000  133.915    0.006 {built-in method numpy.core._multiarray_umath.implement_array_function}
   164042    3.453    0.000   12.952    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:310(dimensionality)
   121775    3.230    0.000   62.213    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:59(wrapped)
  8013855    3.096    0.000    3.224    0.000 {built-in method __new__ of type object at 0x561a126f9320}
    21167    2.884    0.000    9.902    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1441(_call_ufunc)
  7693301    2.665    0.000    2.665    0.000 {built-in method _operator.gt}
   455344    2.382    0.000    2.568    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:297(__iter__)
   455241    2.361    0.000    2.361    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:698(__init__)
26995/26962    2.344    0.000    4.371    0.000 {built-in method numpy.array}
    18533    2.295    0.000   14.083    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:863(nanmean)
   153590    2.203    0.000    3.048    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:742(__iter__)
   121763    2.128    0.000   67.850    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:899(__mul__)
   158824    2.078    0.000    2.078    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1650(_ok_for_muldiv)
   142971    2.037    0.000    2.774    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/_collections_abc.py:676(items)
   211801    2.013    0.000    2.153    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:614(_check)
    37051    1.948    0.000    6.056    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:605(_get_root_units)
   243526    1.943    0.000   18.106    0.000 {built-in method _operator.mul}
  7977735    1.896    0.000    1.901    0.000 {built-in method builtins.hasattr}
    37168    1.848    0.000    3.083    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:39(seterr)
   328755    1.813    0.000    1.813    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:276(message_arrived)
    89935    1.782    0.000   49.097    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:750(__add__)
    74132    1.705    0.000    4.838    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:482(__eq__)
        1    1.535    1.535  160.981  160.981 /home/jessica/GitHub/Profiles/profiles/Wind_Profile.py:178(_calc_winds)
    29123    1.382    0.000    8.421    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:693(convert)
   238192    1.271    0.000    1.324    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:300(__len__)
    21167    1.217    0.000   16.117    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1526(__array_ufunc__)
   328694    1.187    0.000    1.187    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   212471    1.180    0.000    1.340    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/abc.py:137(__instancecheck__)
    37168    1.164    0.000    1.174    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:139(geterr)
    95220    1.131    0.000    1.481    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1373(__getattr__)
    37087    1.039    0.000    2.983    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2045(sum)
    34556    0.987    0.000    1.527    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:303(should_use_msec_field0)
    37096    0.960    0.000    1.931    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
    18540    0.950    0.000    1.739    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:70(_replace_nan)
        6    0.922    0.154    7.900    1.317 /home/jessica/GitHub/Profiles/profiles/utils.py:100(regrid_data)
    37087    0.919    0.000    4.652    0.000 <__array_function__ internals>:2(sum)
    13225    0.900    0.000    5.303    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
    10604    0.883    0.000    1.857    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:369(__truediv__)
    18547    0.874    0.000    4.887    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:184(_divide_by_count)
        1    0.784    0.784   14.588   14.588 /home/jessica/GitHub/Profiles/profiles/Thermo_Profile.py:39(_init2)
        1    0.767    0.767    0.767    0.767 {method 'poll' of 'select.poll' objects}
    15880    0.764    0.000    4.837    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:390(to_root_units)
1632674/1595486    0.753    0.000    0.938    0.000 {built-in method builtins.len}
   121764    0.740    0.000    0.740    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:352(<listcomp>)
   329909    0.726    0.000    0.726    0.000 {method 'unpack' of 'Struct' objects}
    21167    0.719    0.000    4.988    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1493(_wrap_output)
    21217    0.672    0.000    2.574    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:779(parse_units)
   100335    0.662    0.000    0.733    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1370(__len__)
    21222    0.661    0.000    0.986    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:795(_parse_units)
    37096    0.640    0.000    0.640    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
    58262    0.632    0.000    0.663    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:656(to_units_container)
   657497    0.620    0.000    0.620    0.000 {method 'match' of 're.Pattern' objects}
   602419    0.614    0.000    1.247    0.000 {built-in method builtins.getattr}
     5301    0.569    0.000    4.031    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:713(_convert)
    21222    0.557    0.000    1.543    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:896(_parse_units)
     5292    0.535    0.000   15.784    0.003 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1406(__setitem__)
        1    0.526    0.526  570.875  570.875 /home/jessica/GitHub/Profiles/profiles/Raw_Profile.py:41(__init__)
   110840    0.522    0.000    0.559    0.000 {built-in method _warnings.warn}
29243/29190    0.488    0.000    0.531    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/unit.py:41(__new__)
    18549    0.458    0.000    0.672    0.000 <__array_function__ internals>:2(copyto)
    18533    0.456    0.000   14.990    0.001 <__array_function__ internals>:2(nanmean)
    55663    0.437    0.000    0.437    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    21184    0.413    0.000    8.211    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:338(_convert_magnitude_not_inplace)
      428    0.408    0.001    0.478    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:57(__init__)
    18584    0.400    0.000    2.021    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:441(__enter__)
    10588    0.392    0.000    5.526    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:300(dimensionless)
     5301    0.385    0.000    5.804    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:965(_convert)
    18584    0.372    0.000    1.834    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:446(__exit__)
       52    0.358    0.007    2.789    0.054 {built-in method builtins.max}
    74174    0.357    0.000    0.357    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:309(__hash__)
    34556    0.353    0.000    0.380    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:295(type_has_good_TimeMS)
    10602    0.353    0.000    0.822    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:940(<listcomp>)
    10602    0.351    0.000    1.389    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:938(_validate_and_extract)
     5290    0.301    0.000  120.423    0.023 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:217(__mul__)
  1080902    0.281    0.000    0.281    0.000 {method 'items' of 'dict' objects}
    18542    0.270    0.000    0.501    0.000 {method 'any' of 'numpy.generic' objects}
    42353    0.247    0.000    0.247    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:258(magnitude)
    37087    0.236    0.000    0.236    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2040(_sum_dispatcher)
  1051883    0.234    0.000    0.234    0.000 {method 'append' of 'list' objects}
     5291    0.224    0.000   10.607    0.002 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:532(__float__)
     5301    0.224    0.000    6.067    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:1210(_convert)
    13231    0.203    0.000    1.369    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1478(<genexpr>)
        2    0.199    0.099 1243.913  621.956 /home/jessica/GitHub/Profiles/profiles/utils.py:30(regrid_base)
    13225    0.196    0.000    0.209    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:169(__array_finalize__)
   493847    0.194    0.000    0.194    0.000 {method 'startswith' of 'str' objects}
     5290    0.187    0.000  119.693    0.023 <__array_function__ internals>:2(dot)
   455390    0.186    0.000    0.186    0.000 {built-in method builtins.iter}
   328727    0.183    0.000    0.183    0.000 {method 'add' of 'set' objects}
     7935    0.177    0.000    0.181    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:191(__getitem__)
    10661    0.169    0.000    0.233    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/codecs.py:319(decode)
     7973    0.159    0.000    0.301    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:278(units)
   212471    0.154    0.000    0.159    0.000 {built-in method _abc._abc_instancecheck}
     7938    0.150    0.000    0.550    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1128(__neg__)
    18584    0.147    0.000    0.155    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:437(__init__)
        1    0.147    0.147    0.151    0.151 /home/jessica/GitHub/Profiles/profiles/utils.py:304(identify_profile)
     7041    0.141    0.000    0.173    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:151(null_term)
    13232    0.133    0.000    0.139    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:33(_eq)
     5290    0.129    0.000    0.427    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:38(asmatrix)
    89935    0.126    0.000    0.126    0.000 {built-in method _operator.add}
